Line no. 	 Token no. 	 Token 		 Lexeme

      1	       0	 Special symbol	       #
      1	       1	 Identifier		 include
      1	       2	 Identifier		   stdio
      1	       3	 Identifier		       h
      2	       4	 Identifier		    void
      2	       5	 Keyword		    main
      2	       6	 Special symbol	       (
      2	       7	 Special symbol	       )
      3	       8	 Special symbol	       {
      4	       9	 Identifier		  printf
      4	      10	 Special symbol	       (
      4	      11	 Identifier		   Hello
      4	      12	 Identifier		   World
      4	      13	 Number		      96
      4	      14	 Identifier		      a7
      4	      15	 Special symbol	       )
      4	      16	 Special symbol	       ;
      5	      17	 Special symbol	       }
